adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Nigeria,Adamawa,Madagali,184648,4,35083.12,38776.08,59087.36,48008.48,3692.96,110788.8
Nigeria,Adamawa,Michika,212689,3,74441.15,74441.15,36157.13,27649.57,0,63806.7
Nigeria,Adamawa,Mubi North,206896,2,136551.36,51724,18620.64,0,0,18620.64
Nigeria,Adamawa,Mubi South,176582,2,120075.76,35316.4,21189.84,0,0,21189.84
Nigeria,Adamawa,Maiha,152311,3,83771.05,35031.53,19800.43,13707.99,0,33508.42
Nigeria,Adamawa,Gombi,200538,2,120322.8,66177.54,14037.66,0,0,14037.66
Nigeria,Adamawa,Hong,231621,3,81067.35,90332.19,53272.83,6948.63,0,60221.46
Nigeria,Adamawa,Song,263902,2,197926.5,52780.4,13195.1,0,0,13195.1
Nigeria,Adamawa,Gireri,178031,2,124621.7,33825.89,19583.41,0,0,19583.41
Nigeria,Adamawa,Yola North,271504,3,76021.12,122176.8,62445.92,10860.16,0,73306.08
Nigeria,Adamawa,Yola South,266519,3,95946.84,111937.98,50638.61,7995.57,0,58634.18
Nigeria,Adamawa,Fufore,283884,2,190202.28,62454.48,31227.24,0,0,31227.24
Nigeria,Adamawa,Guyuk,243480,2,168001.2,48696,26782.8,0,0,26782.8
Nigeria,Adamawa,Shelleng,204153,2,144948.63,40830.6,18373.77,0,0,18373.77
Nigeria,Adamawa,Ganaye,224721,3,96630.03,78652.35,44944.2,4494.42,0,49438.62
Nigeria,Adamawa,Demsa,246858,3,88868.88,93806.04,54308.76,9874.32,0,64183.08
Nigeria,Adamawa,Lamurde,154486,3,67973.84,55614.96,29352.34,1544.86,0,30897.2
Nigeria,Adamawa,Mayo-Belwa,209714,2,148896.94,48234.22,12582.84,0,0,12582.84
Nigeria,Adamawa,Toungo,71270,3,22806.4,31358.8,14254,2850.8,0,17104.8
Nigeria,Adamawa,Numan,124248,2,90701.04,24849.6,8697.36,0,0,8697.36
Nigeria,Adamawa,Jada,230728,3,103827.6,78447.52,46145.6,2307.28,0,48452.88
Nigeria,Bauchi,Central,2112455,1,1732213.1,337992.8,42249.1,0,0,42249.1
Nigeria,Bauchi,Northern,2203556,2,991600.2,1145849.12,66106.68,0,0,66106.68
Nigeria,Bauchi,Southern,2514127,1,2036442.87,452542.86,25141.27,0,0,25141.27
Nigeria,Benue,Central,2152286,1,1850965.96,279797.18,21522.86,0,0,21522.86
Nigeria,Benue,North,2036648,1,1710784.32,325863.68,0,0,0,0
Nigeria,Benue,South,1859353,1,1524669.46,316090.01,18593.53,0,0,18593.53
Nigeria,Borno,Abadam,0,0,0,0,0,0,0,0
Nigeria,Borno,Gubio,187849,3,52597.72,86410.54,46962.25,1878.49,0,48840.74
Nigeria,Borno,Guzamala,0,0,0,0,0,0,0,0
Nigeria,Borno,Kukawa,110854,3,33256.2,54318.46,22170.8,1108.54,0,23279.34
Nigeria,Borno,Magumeri,256733,4,47495.605,77019.9,77019.9,53913.93,1283.665,132217.495
Nigeria,Borno,Marte,0,0,0,0,0,0,0,0
Nigeria,Borno,Mobbar,153834,3,39996.84,53841.9,44611.86,15383.4,0,59995.26
Nigeria,Borno,Nganzai,142322,3,51235.92,45543.04,37003.72,8539.32,0,45543.04
Nigeria,Borno,Monguno,208815,3,43851.15,43851.15,96054.9,25057.8,0,121112.7
Nigeria,Borno,Dikwa,114802,3,12628.22,40180.7,48216.84,13776.24,0,61993.08
Nigeria,Borno,Jere,607063,3,97130.08,224613.31,212472.05,72847.56,0,285319.61
Nigeria,Borno,Kala/Balge,0,0,0,0,0,0,0,0
Nigeria,Borno,Mafa,128654,4,26374.07,38596.2,34736.58,28303.88,643.27,63683.73
Nigeria,Borno,Maiduguri,1030217,3,267856.42,432691.14,247252.08,82417.36,0,329669.44
Nigeria,Borno,Ngala,101679,4,13523.307,35587.65,27453.33,24402.96,711.753,52568.043
Nigeria,Borno,Konduga,188117,3,52672.76,60197.44,58316.27,16930.53,0,75246.8
Nigeria,Borno,Bama,182947,4,25612.58,54884.1,60372.51,42077.81,0,102450.32
Nigeria,Borno,Kaga,132650,3,30509.5,55713,35815.5,10612,0,46427.5
Nigeria,Borno,Askira/Uba,256301,3,117898.46,87142.34,51260.2,0,0,51260.2
Nigeria,Borno,Bayo,155884,3,81059.68,43647.52,31176.8,0,0,31176.8
Nigeria,Borno,Biu,272089,3,133323.61,73464.03,65301.36,0,0,65301.36
Nigeria,Borno,Chibok,112815,4,16358.175,45126,25947.45,24819.3,564.075,51330.825
Nigeria,Borno,Damboa,151616,4,10613.12,45484.8,63678.72,31839.36,0,95518.08
Nigeria,Borno,Gwoza,199702,4,22766.028,73889.74,55916.56,45931.46,1198.212,103046.232
Nigeria,Borno,Hawul,243893,2,129263.29,85362.55,29267.16,0,0,29267.16
Nigeria,Borno,Kwaya Kusar,129637,3,53151.17,45372.95,31112.88,0,0,31112.88
Nigeria,Borno,Shani,219859,2,138511.17,70354.88,10992.95,0,0,10992.95
Nigeria,Federal Capital Territory,Fct,3966171,1,3688539.03,277631.97,0,0,0,0
Nigeria,Gombe,Central,859664,1,756504.32,103159.68,0,0,0,0
Nigeria,Gombe,North,1514322,2,1196314.38,287721.18,30286.44,0,0,30286.44
Nigeria,Gombe,South,1037827,2,799126.79,217943.67,20756.54,0,0,20756.54
Nigeria,Jigawa,North East,1651611,1,1354321.02,280773.87,16516.11,0,0,16516.11
Nigeria,Jigawa,North South,1942020,1,1611876.6,310723.2,19420.2,0,0,19420.2
Nigeria,Jigawa,North West,2188969,1,1773064.89,394014.42,21889.69,0,0,21889.69
Nigeria,Kaduna,Central,3248378,1,2631186.18,617191.82,0,0,0,0
Nigeria,Kaduna,Southern,2609322,2,2009177.94,574050.84,26093.22,0,0,26093.22
Nigeria,Kaduna,Northern,3043252,1,2495466.64,547785.36,0,0,0,0
